uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"d3ad45cc-de6b-4458-9bec-76d00d907352","WOOD_024.tickPlot.tck","D09","WOOD","WOOD_024","distributed","emergentHerbaceousWetlands",47.150784,-99.260836,"WGS84",20.1,586.1,0.2,,,"2018-05-10T18:13Z","WOOD.2018.19",,,"flag",160,"N",0,0,0,,"NEON.DOC.014045vJ","gjordan@battelleecology.org",
"758e168c-dca1-4be5-ba48-899e623a3205","WOOD_006.tickPlot.tck","D09","WOOD","WOOD_006","distributed","grasslandHerbaceous",47.141023,-99.248055,"WGS84",20.1,587.2,0.1,,,"2018-05-10T19:04Z","WOOD.2018.19","WOOD_006.20180510","A00000016610","drag and flag",160,"Y",6,0,0,"No known compromise","NEON.DOC.014045vJ","gjordan@battelleecology.org",
"48e09bbd-22df-468b-a8e9-b0a61d22d1a6","WOOD_007.tickPlot.tck","D09","WOOD","WOOD_007","distributed","grasslandHerbaceous",47.133887,-99.251357,"WGS84",20.4,593.6,0.3,,,"2018-05-10T20:05Z","WOOD.2018.19","WOOD_007.20180510","A00000016609","drag and flag",160,"Y",2,0,0,"No known compromise","NEON.DOC.014045vJ","srios@battelleecology.org",
"a7c42ee4-8737-4cfb-9dda-3f1c73fef167","WOOD_001.tickPlot.tck","D09","WOOD","WOOD_001","distributed","grasslandHerbaceous",47.127200,-99.256464,"WGS84",20.1,593.8,0.2,,,"2018-05-10T20:56Z","WOOD.2018.19","WOOD_001.20180510","A00000016614","drag",160,"Y",4,0,0,"No known compromise","NEON.DOC.014045vJ","gjordan@battelleecology.org",
"7231795e-aff0-4138-8526-0b40730f4816","WOOD_002.tickPlot.tck","D09","WOOD","WOOD_002","distributed","grasslandHerbaceous",47.136802,-99.234546,"WGS84",20.1,578.3,0.1,,,"2018-05-10T21:50Z","WOOD.2018.19",,,"drag",160,"N",0,0,0,,"NEON.DOC.014045vJ","srios@battelleecology.org",
"ad8499e2-5121-416e-8fa6-e04b621b1101","WOOD_009.tickPlot.tck","D09","WOOD","WOOD_009","distributed","grasslandHerbaceous",47.144534,-99.231072,"WGS84",20.1,573.5,0.2,,,"2018-05-10T22:28Z","WOOD.2018.19","WOOD_009.20180510","A00000016616","drag",160,"Y",4,0,0,"No known compromise","NEON.DOC.014045vJ","gjordan@battelleecology.org",
"1e2d16da-662b-4632-a869-577934309f3f","WOOD_006.tickPlot.tck","D09","WOOD","WOOD_006","distributed","grasslandHerbaceous",47.141023,-99.248055,"WGS84",20.1,587.2,0.1,,,"2018-05-30T17:51Z","WOOD.2018.22","WOOD_006.20180530","A00000016780","drag and flag",160,"Y",4,0,0,"No known compromise","NEON.DOC.014045vJ","tmiller01@battelleecology.org",
"64e7cb5e-f9fc-443c-a11a-3c240d58a8f9","WOOD_007.tickPlot.tck","D09","WOOD","WOOD_007","distributed","grasslandHerbaceous",47.133887,-99.251357,"WGS84",20.4,593.6,0.3,,,"2018-05-30T18:28Z","WOOD.2018.22","WOOD_007.20180530","A00000016619","drag and flag",160,"Y",11,0,0,"Tick count estimated (error and instar specified in remarks)","NEON.DOC.014045vJ","tmiller01@battelleecology.org","1 tick dropped"
"63fa864a-cbbc-42d9-9c03-301a1a6e7bf0","WOOD_002.tickPlot.tck","D09","WOOD","WOOD_002","distributed","grasslandHerbaceous",47.136802,-99.234546,"WGS84",20.1,578.3,0.1,,,"2018-05-31T16:27Z","WOOD.2018.22","WOOD_002.20180531","A00000016620","drag",160,"Y",1,0,0,"No known compromise","NEON.DOC.014045vJ","tmiller01@battelleecology.org",
"122a50b5-ffc8-4ec1-a4a8-05f3a669854b","WOOD_001.tickPlot.tck","D09","WOOD","WOOD_001","distributed","grasslandHerbaceous",47.127200,-99.256464,"WGS84",20.1,593.8,0.2,,,"2018-05-31T17:27Z","WOOD.2018.22","WOOD_001.20180531","A00000016776","drag",160,"Y",22,0,0,"No known compromise","NEON.DOC.014045vJ","mgentzkow@battelleecology.org",
"140d26e1-e9bf-45b7-ae20-2fec74287528","WOOD_009.tickPlot.tck","D09","WOOD","WOOD_009","distributed","grasslandHerbaceous",47.144534,-99.231072,"WGS84",20.1,573.5,0.2,,,"2018-05-31T18:45Z","WOOD.2018.22","WOOD_009.20180531","A00000016779","drag",160,"Y",15,0,0,"No known compromise","NEON.DOC.014045vJ","tmiller01@battelleecology.org",
"4483d91b-33f9-4c38-a3b3-a90c34c81651","WOOD_024.tickPlot.tck","D09","WOOD","WOOD_024","distributed","emergentHerbaceousWetlands",47.150784,-99.260836,"WGS84",20.1,586.1,0.2,,,"2018-05-31T19:30Z","WOOD.2018.22","WOOD_024.20180531","A00000016777","flag",160,"Y",1,0,0,"No known compromise","NEON.DOC.014045vJ","tmiller01@battelleecology.org",
